Date,Discipline,Points,Innings,Highest Run,Adversary,Competition,Outcome
2025-09-11,3-banden - Match biljart,29,45,5,,NIDM,lost
2025-09-19,3-banden - Match biljart,30,36,6,,NIDM,won
2025-09-20,3-banden - Match biljart,22,31,4,,NIDM,lost
2025-10-02,3-banden - Match biljart,30,36,5,,NIDM,won
2025-10-23,3-banden - Match biljart,30,30,5,,NIDM,won
2025-10-28,3-banden - Match biljart,30,23,5,,NIDM,won
2025-11-07,3-banden - Match biljart,16,30,3,,NIDM,lost
2025-11-18,3-banden - Match biljart,30,29,6,,NIDM,won
2025-11-27,3-banden - Match biljart,18,31,3,,NIDM,lost
2025-12-04,3-banden - Match biljart,30,41,5,,NIDM,won
2025-12-19,3-banden - Match biljart,30,33,5,,NIDM,won
2025-12-30,3-banden - Match biljart,30,31,8,,NIDM,won
2026-01-29,3-banden - Match biljart,30,39,4,,NIDM,won
2026-02-05,3-banden - Match biljart,30,34,6,,NIDM,won
2026-02-11,3-banden - Match biljart,30,41,5,,NIDM,won
