Date,Discipline,Points,Innings,Highest Run,Adversary,Competition,Outcome
2021-09-16,3-banden - Match biljart,30,31,5,,NIDM,won
2021-09-23,3-banden - Match biljart,30,38,4,,NIDM,won
2021-09-30,3-banden - Match biljart,30,58,5,,NIDM,won
2021-10-07,3-banden - Match biljart,30,50,4,,NIDM,won
2021-10-14,3-banden - Match biljart,30,51,3,,NIDM,won
2021-10-21,3-banden - Match biljart,30,42,3,,NIDM,won
2021-10-28,3-banden - Match biljart,30,27,9,,NIDM,won
2021-11-04,3-banden - Match biljart,16,39,4,,NIDM,lost
2021-11-11,3-banden - Match biljart,28,34,6,,NIDM,lost
2021-11-18,3-banden - Match biljart,30,37,3,,NIDM,won
2021-11-25,3-banden - Match biljart,24,37,5,,NIDM,lost
2022-01-13,3-banden - Match biljart,30,54,6,,NIDM,won
2023-01-20,3-banden - Match biljart,30,51,5,,NIDM,won
2024-01-27,3-banden - Match biljart,30,68,2,,NIDM,won
2025-02-03,3-banden - Match biljart,30,37,4,,NIDM,won
2026-02-10,3-banden - Match biljart,30,46,4,,NIDM,won
2027-02-17,3-banden - Match biljart,30,41,3,,NIDM,won
2028-02-24,3-banden - Match biljart,26,57,4,,NIDM,lost
2029-03-03,3-banden - Match biljart,6,23,1,,NIDM,lost
2030-03-10,3-banden - Match biljart,30,37,5,,NIDM,won
2031-03-17,3-banden - Match biljart,30,50,7,,NIDM,won
2032-03-23,3-banden - Match biljart,28,41,5,,NIDM,lost
