Date,Discipline,Points,Innings,Highest Run,Adversary,Competition,Outcome
2023-09-07,3-banden - Match biljart,30,30,5,,NIDM,won
2023-09-14,3-banden - Match biljart,30,20,6,,NIDM,won
2023-09-19,3-banden - Match biljart,30,26,6,,NIDM,won
2023-10-12,3-banden - Match biljart,30,14,7,,NIDM,won
2023-10-18,3-banden - Match biljart,30,49,5,,NIDM,won
2023-11-02,3-banden - Match biljart,24,36,4,,NIDM,lost
2023-11-08,3-banden - Match biljart,30,47,3,,NIDM,won
2023-11-16,3-banden - Match biljart,21,34,4,,NIDM,lost
2023-11-20,3-banden - Match biljart,30,29,6,,NIDM,won
2023-11-30,3-banden - Match biljart,30,25,6,,NIDM,won
2023-12-09,3-banden - Match biljart,30,37,7,,NIDM,won
2024-01-24,3-banden - Match biljart,7,24,2,,NIDM,lost
2024-02-01,3-banden - Match biljart,30,44,3,,NIDM,won
2024-02-12,3-banden - Match biljart,30,36,5,,NIDM,won
2024-02-22,3-banden - Match biljart,27,28,5,,NIDM,lost
2024-03-07,3-banden - Match biljart,30,29,5,,NIDM,won
2024-03-21,3-banden - Match biljart,30,39,4,,NIDM,won
2024-03-23,3-banden - Match biljart,30,28,5,,NIDM,won
2024-04-17,3-banden - Match biljart,30,43,4,,NIDM,won
2024-05-02,3-banden - Match biljart,30,43,7,,NIDM,won
