Date,Discipline,Points,Innings,Highest Run,Adversary,Competition,Outcome
2025-09-12,3-banden - Match biljart,35,40,4,Rick Sleddens,Divisie Driebanden MT,draw
2025-09-13,3-banden - Match biljart,29,43,5,Nick Loenen,Divisie Driebanden MT,lost
2025-09-16,3-banden - Match biljart,35,47,4,Wilfrie Vermeer,Divisie Driebanden MT,won
2025-09-26,3-banden - Match biljart,31,34,8,Marcel van Berkel,Divisie Driebanden MT,lost
2025-10-03,3-banden - Match biljart,35,42,4,Benny Smits,Divisie Driebanden MT,won
2025-10-17,3-banden - Match biljart,35,42,6,Rob Mans,Divisie Driebanden MT,won
2025-10-24,3-banden - Match biljart,28,39,6,Jean Bessems,Divisie Driebanden MT,lost
2025-10-31,3-banden - Match biljart,17,34,4,Christ van der Smissen,Divisie Driebanden MT,lost
2025-11-13,3-banden - Match biljart,13,19,5,Kenny Miatton,Divisie Driebanden MT,lost
2025-11-21,3-banden - Match biljart,35,41,8,Kevin Adams,Divisie Driebanden MT,draw
2025-11-28,3-banden - Match biljart,35,27,5,Karl Heinz Gertzen,Divisie Driebanden MT,won
2025-11-30,3-banden - Match biljart,21,29,3,Dirk Mourik van,Divisie Driebanden MT,lost
2025-12-20,3-banden - Match biljart,35,40,5,Roger Spijkers,Divisie Driebanden MT,draw
2026-01-15,3-banden - Match biljart,32,46,4,Wilfrie Vermeer,Divisie Driebanden MT,lost
2026-01-23,3-banden - Match biljart,25,25,5,Rick Sleddens,Divisie Driebanden MT,lost
2026-01-30,3-banden - Match biljart,35,26,4,Marcel van Berkel,Divisie Driebanden MT,won
2026-02-06,3-banden - Match biljart,35,29,5,Benny Smits,Divisie Driebanden MT,won
2026-02-13,3-banden - Match biljart,30,43,4,Erik van Loon,Divisie Driebanden MT,lost
